run,step,algorithm,time_sec,memory_kb,path_length
6,2,D*-Lite,0.07069,46.64,61
6,2,Theta*,0.01675,26.44,10
6,3,A*,0.01944,76.91,61
6,3,D*-Lite,0.06327,46.59,61
6,3,Theta*,0.01674,26.39,10
6,4,A*,0.01629,76.91,61
6,4,D*-Lite,0.06687,46.55,61
6,4,Theta*,0.01684,26.41,10
6,5,A*,0.01659,76.91,61
6,5,D*-Lite,0.07114,46.55,61
6,5,Theta*,0.01458,26.41,10
7,0,A*,0.01602,76.81,59
7,0,D*-Lite,0.14312,60.08,59
7,0,Theta*,0.01365,12.57,6
7,1,A*,0.01274,76.81,59
7,1,D*-Lite,0.11585,46.64,59
7,1,Theta*,0.00404,12.48,6
7,2,A*,0.01673,76.81,59
7,2,D*-Lite,0.1156,46.64,59
7,2,Theta*,0.0051,12.48,6
7,3,A*,0.01109,76.81,59
7,3,D*-Lite,0.11465,46.62,59
7,3,Theta*,0.00594,12.41,6
7,4,A*,0.01159,76.81,59
7,4,D*-Lite,0.10973,46.64,59
7,4,Theta*,0.00604,12.41,6
7,5,A*,0.00786,76.81,59
7,5,D*-Lite,0.11667,46.64,59
7,5,Theta*,0.00183,12.41,6
8,0,A*,0.00912,76.88,59
8,0,D*-Lite,0.11181,47.77,59
8,0,Theta*,0.01617,12.43,9
8,1,A*,0.01616,76.88,59
8,1,D*-Lite,0.09526,46.34,59
8,1,Theta*,0.01603,12.43,9
8,2,A*,0.01589,76.88,59
8,2,D*-Lite,0.09855,46.66,59
8,2,Theta*,0.0,12.36,9
8,3,A*,0.02099,76.88,59
8,3,D*-Lite,0.10032,46.78,59
8,3,Theta*,0.00616,12.34,9
8,4,A*,0.01599,76.88,59
8,4,D*-Lite,0.08943,46.78,59
8,4,Theta*,0.01569,12.29,9
8,5,A*,0.01567,76.88,59
8,5,D*-Lite,0.09506,46.73,59
8,5,Theta*,0.0,12.2,10
9,0,A*,0.01634,77.0,59
9,0,D*-Lite,0.1387,68.01,59
9,0,Theta*,0.0,12.43,9
9,1,A*,0.01578,76.88,59
9,1,D*-Lite,0.13211,46.52,59
9,1,Theta*,0.0,12.43,9
9,2,A*,0.01578,76.88,59
9,2,D*-Lite,0.143,47.11,59
9,2,Theta*,0.0,12.43,10
9,3,A*,0.01807,76.88,59
9,3,D*-Lite,0.09458,47.37,59
9,3,Theta*,0.0,12.91,10
9,4,A*,0.01364,76.88,59
9,4,D*-Lite,0.12006,47.34,59
9,4,Theta*,0.00938,12.91,10
9,5,A*,0.0,76.88,59
9,5,D*-Lite,0.14272,47.46,59
9,5,Theta*,0.0161,12.87,10
10,0,A*,0.01002,79.41,59
10,0,D*-Lite,0.13986,78.35,59
10,0,Theta*,0.0,12.48,7
10,1,A*,0.01666,76.88,59
10,1,D*-Lite,0.12685,46.48,59
10,1,Theta*,0.0,12.48,7
10,2,A*,0.0159,76.88,59
10,2,D*-Lite,0.12472,46.48,59
10,2,Theta*,0.00504,12.41,9
10,3,A*,0.00816,76.88,59
10,3,D*-Lite,0.11618,46.31,59
10,3,Theta*,0.0,12.41,9
10,4,A*,0.01914,76.88,59
10,4,D*-Lite,0.07112,46.22,59
10,4,Theta*,0.0,12.48,9
10,5,A*,0.00566,76.88,59
10,5,D*-Lite,0.07909,46.22,59
10,5,Theta*,0.00411,12.45,9
